Press,Reporter,Category,Submission Date,Submission Time,Last Edited Date,Last Edited Time,Article Title,Article Body,Size,url
People.cn,"Zhang Kaiwei, Zhong Wenxing",Economy,20240628,1649,,,China ramps up financial support for SMEs to spur economic vitality,"BEIJING, June 28 (Xinhua) -- China has significantly enhanced financial support measures aimed at small and medium-sized enterprises (SMEs) to boost economic vitality.
There has been a notable increase in the cap for inclusive micro and small loans from 10 million yuan (about 1.4 million U.S. dollars) to 20 million yuan per borrower, and refinancing initiatives for agricultural and small businesses have seen interest rate reductions, further alleviating financial burdens on these crucial economic entities.
At the end of May, the outstanding inclusive micro and small loans amounted to 31.56 trillion yuan, marking a 19.3 percent year-on-year increase.
In April, China set up a re-lending program worth 500 billion yuan to promote technological innovation and industrial upgrades, with 100 billion yuan specially designated to help boost the growth of tech firms.
An initial list of nearly 7,000 qualified enterprises under the program was sent to banks recently.
""We immediately reviewed the credit and business needs of relevant clients upon receiving the list,"" said Zhang Xiaorui, deputy head of the Shandong branch of the Industrial and Commercial Bank of China (ICBC). The bank has established green channels and streamlined services to ensure businesses receive the funds timely.
One such beneficiary, an electromechanical company in Yantai in east China's Shandong Province, completed the process for its 1-million-yuan loan within one day, effectively easing its cash flow pressures.
The challenges SMEs face in accessing affordable financing often stem from their insufficient collateral and vulnerability to risks. To address this problem, Chinese lenders have leveraged digital technologies to reduce risks and offer tailored services to SMEs.
Despite lacking tangible assets suitable for traditional collateral, a manufacturer of high-performance engineering plastics in east China's Zhejiang Province recently secured a 2 million yuan credit line from Zhejiang E-Commerce Bank. The bank made the decision to grant the loan after using advanced data analytics to evaluate industry chain dynamics and operational risks.
According to Chen Kai, vice general manager of the bank's industry finance department, nearly 30 percent of the credit recipients were involved in pioneering scientific research and technological development.
This data-driven lending approach has been adopted by many other banks in China. The Export-Import Bank of China has used big data on trade to tailor online products for micro and small businesses engaged in international trade. The ICBC and the Bank of China have launched technology finance centers to bolster support for technology-driven SMEs.
Apart from bank loans, China also encourages SMEs to take advantage of direct financing channels, including the capital market and venture capital (VC) investment.
The government recently released a string of policies to bolster VC investment, with specific measures to support the growth of SMEs through patent industrialization. Such equity financing is better suited to spur innovation activities during the high-risk research and development phase, said Zhou Guanping, a researcher at China Everbright Group.
The Beijing Stock Exchange, established in November 2021, is also dedicated to serving innovative SMEs.
Among the 249 listed companies on the exchange, SMEs account for over 80 percent, underscoring the pivotal role of public equity markets in fostering innovation and expansion among SMEs. The total capitalization of the exchange has surpassed 330 billion yuan.
In addition to enhanced financing channels for SMEs, experts have also called for more efforts to ensure that the financing is more sound and sustainable.
Hou Liming, a researcher at the Renmin University of China, said that work should be done to further reduce the liquidity pressure of SMEs due to delinquent receivables, promote their digitalization, and launch more insurance products targeting SME risks.
",3982,http://en.people.cn/n3/2024/0628/c90000-20187157.html
People.cn,"Zhang Kaiwei, Zhong Wenxing",Economy,20240628,1624,,,China remains key driving force for global economic growth,"DALIAN, June 28 (Xinhua) -- Despite the world grappling with a slowdown in economic growth and a challenging recovery, China's economy has maintained steady development, bolstered by the rise of new industries and new growth drivers.
During the 15th Annual Meeting of the New Champions, also known as the 2024 Summer Davos, which concluded on Thursday, participants hailed China's efforts in cultivating new quality productive forces, noting that it has not only injected new vitality into the Chinese economy but also expanded opportunities for global cooperation.
Speaking at the opening ceremony, Polish President Andrzej Duda said that China's contribution to world economic growth has stayed at around 30 percent over the years, and it continues to be a key driving force for global economic growth.
NEW GROWTH DRIVERS
Since the start of this year, the Chinese economy has maintained its recovery momentum. It started strongly in the first quarter with a 5.3 percent year-on-year growth and continued to grow steadily in the second quarter.
Official data showed that indicators measuring consumption, trade in goods and value-added industrial output all posted positive performance in May.
""We have the confidence and capability to achieve the growth target of around 5 percent for this year,"" Chinese Premier Li Qiang said when addressing the opening plenary of the event.
International organizations and institutions have raised their forecasts for China's economic growth, reflecting strong confidence in the country's future prospects.
Recently, the World Bank increased its forecast for China's 2024 economic growth to 4.8 percent, 0.3 percentage points higher than the previous forecast. The International Monetary Fund (IMF) also revised China's economic outlook to 5 percent, 0.4 percentage points higher than the previous forecast.
This positive outlook rebuffs the narratives of some Western politicians and media, who claimed that China's economic slowdown could pose risks to global economic growth. According to IMF analysis, a 1 percentage point increase in China's GDP growth results in an average of 0.3 percentage point increase in growth for other economies.
China's economy has exceeded expectations and shown strong resilience in the first half of this year, especially in emerging industries, Jason Ding, managing partner of Greater China offices with Bain & Company told Xinhua.
In particular, China has gained an international edge in electric vehicles, lithium batteries and photovoltaics. Renewable energy now accounts for over 50 percent of the country's total installed capacity.
""I see huge opportunities in China since it is leading the way in a series of new technologies such as the batteries and new energy vehicles, which have provided new drivers of growth,"" said Merik Dusek, the managing director of the World Economic Forum.
""High-quality growth"" is more than just a popular buzzword, said Peng Sen, president of the China Society of Economic Reform. ""This is about advanced productivity and innovation.""
Future growth for China's industries requires a revolutionary transformation on the technological front, as well as a focus on cutting-edge technologies such as generative AI and advanced chips, he added.
OPENING UP ENDEAVOUR
Amid a gloomy global economic outlook, China's sustained economic growth promises positive spillover effects for the rest of the world.
At present, China is a major trading partner of over 140 countries and regions. In the first five months of this year, its trade in goods with other countries grew by 6.3 percent year on year, according to official statistics.
China has a vast market of over 1.4 billion people, a comprehensive industrial support system, an abundant labor force and talent pool, and diverse application scenarios, said Jason Ding, adding that these unique advantages could not only meet domestic demand but also enhance supply in the international market.
For example, the country's cultivation of large-scale new growth drivers in sectors such as green infrastructure, green energy, green transportation and green lifestyle will generate investment and consumption markets with an estimated size of 10 trillion yuan (about 1.4 trillion U.S. dollars) annually, promising enormous potential.
Emphasizing the fundamentally global nature of these new technologies, Keyu Jin, a professor at the London School of Economics and Political Science said, ""China might be leading the way in EVs, batteries and solar panels, but they are all embedded in a global supply chain. It's going to involve everybody.""
In contrast to some countries resorting to regressive actions like decoupling, disrupting supply chains and building barriers, China has reaffirmed its commitment to opening its doors wider to the world and deepening cooperation with international communities.
In his speech, Premier Li Qiang called on all countries and regions to work toward deepening scientific and technological exchanges and cooperation, bolster the foundation for green development, safeguard an open market environment, and promote inclusive and mutually beneficial development.
China remains steadfast in its commitment to opening up. It has pledged to increase imports of high-quality goods and services from all over the world, attract increased foreign investment in sectors such as medium and high-end manufacturing and biopharmaceuticals, further streamline market access, and foster an open, inclusive and transparent business environment for enterprises worldwide.
""We definitely need to keep China open for the world, but we also need to keep the world open for China,"" Jin added.
",5657,http://en.people.cn/n3/2024/0628/c90000-20187117.html
People.cn,"Zhang Kaiwei, Zhong Wenxing",Economy,20240628,1622,,,China's installed power generation capacity up 14.1 pct,"BEIJING, June 28 (Xinhua) -- China's total installed power generation capacity reached approximately 3.04 billion kilowatts at the end of May, marking a 14.1 percent increase from a year ago, data from the National Energy Administration showed on Friday.
The cumulative power generation capacity of wind and solar power hit around 460 million kilowatts and 690 million kilowatts at the end of last month, up 20.5 percent and 52.2 percent year on year, respectively.
From January to May, major power enterprises in China invested a total of 257.8 billion yuan (about 36.17 billion U.S. dollars) in power supply projects, a 6.5 percent increase compared to the same period of last year.
China's investment in power grid projects was 170.3 billion yuan during the first five months, up 21.6 percent year on year.
",810,http://en.people.cn/n3/2024/0628/c90000-20187115.html
People.cn,"Zhang Kaiwei, Zhong Wenxing",Economy,20240628,1607,,,China-Serbia free trade agreement to take effect on July 1,"BEIJING, June 28 (Xinhua) -- The free trade agreement (FTA) between China and Serbia will go into effect on July 1 as both countries have completed respective domestic approval processes, China's Ministry of Commerce (MOC) announced Friday.
According to the deal signed in October 2023, approximately 90 percent of the products traded between China and Serbia will be exempted from tariffs, while over 60 percent of them will enjoy zero tariffs immediately after the FTA goes into effect.
The tariffs on over 95 percent of the products will be gradually reduced to zero, the MOC added.
The implementation of the FTA will promote the comprehensive upgrading of bilateral economic and trade cooperation, and inject new momentum into deepening the China-Serbia comprehensive strategic partnership and the building of a China-Serbia community with a shared future in the new era, the MOC said.
The Customs Tariff Commission of the State Council announced Thursday that China will impose the tariff rates it has pledged under the FTA on certain imports from the country starting from July 1, the same day the FTA comes into force.
After the deal comes into force, China will exempt tariffs on some Serbian imports such as electric generators, electric motors, tires, beef, wine and nuts, according to the MOC.
",1305,http://en.people.cn/n3/2024/0628/c90000-20187103.html
People.cn,"Hongyu, Liang Jun",Economy,20240628,1513,,,"Footwear industry in Putian, SE China's Fujian marches toward high-quality development","In Putian city, southeast China's Fujian Province, shoemaking is not only a way of making a living but also a time-honored craft that has been handed down through generations.
In 2023, the Putian footwear and clothing industry reached an output value of around 140 billion yuan ($19.28 billion). The city, once renowned as an original equipment manufacturer (OEM) shoemaking base, has lived up to its reputation with its mature technology and well-established industrial chains.
In Putian, over 1.6 billion pairs of shoes are manufactured each year. The city is home to over 4,000 footwear and clothing enterprises, with 423 companies above designated size. Over 500,000 people are engaged in the industry in the city.
In the last century, Putian's shoemaking industry became a major player in OEM production due to its technological and equipment advantages. Putian remained at the cutting edge of shoemaking technology due to the continuous influx of orders from international brands. Over time, it has evolved into an industrial cluster with world-class productivity and scale.

Shoe leather samples undergo testing at the testing center of Fujian Zhongyu New Materials Technology Co., Ltd. in Putian city, southeast China's Fujian Province. (People's Daily Online/Lin Ying)
Zhu Huijuan, quality manager of Fujian Zhongyu New Materials Technology Co., Ltd., explained that before being used in sports shoes, the shoe leather undergoes over 200 chemical safety performance tests and over 80 physical performance tests.
Records show Putian's footwear and clothing industry boasts 53 national high-tech enterprises, one national enterprise technology center, two national industrial design centers, and 21 provincial-level enterprises that utilize special and sophisticated technologies to produce innovative and unique products. Furthermore, this industry has participated in the development of 27 national footwear standards.
Shoes manufactured in Putian go beyond national standards with their outstanding folding resistance, capable of enduring 50,000 continuous folds without any separation between the upper and sole. Moreover, they demonstrate numerous performance qualities that greatly surpass national benchmarks.

The new materials industry, which constantly pursues technological breakthroughs, is a driving force in the development of the footwear industry in Putian. (Photo/Chen Bin)
In Putian, there are textile factories that can turn 125 grams of used clothes into a pair of shoe uppers and enterprises that utilize supercritical foam materials to create shoe soles that are high-performance, eco-friendly, and lightweight. These soles save around 35 percent on materials, and improve performance by 30 percent.
Putian's footwear industry owes its success to its cutting-edge research and development (R&D) capabilities.
""There is a new materials enterprise with a core R&D team made up entirely of high school graduates. These people have developed cutting-edge material technologies that have left even textile professors in awe,"" said Li Zhenhai, deputy mayor of Xianyou county, Putian.

In the 5G-connected factory of Fujian Kunyingqi New Materials Technology Co., Ltd., every piece of woven shoe upper has its own ""identity card."" (People's Daily Online/Chen Yongzheng)
According to Li, artificial intelligence (AI) offers significant advantages in collecting and analyzing consumer habits. In fact, nearly 70 enterprises above designated size in Xianyou county have been utilizing AI in their design processes for several years.
More than 10 years ago, Guo Jing founded Putian Qingchunzhijia Sports Goods Co., Ltd. Since then, the company's brands have flourished with over 100 patents, establishing themselves in the mid-to-high-end market.
""We stamp every pair of shoes with the mark 'Made in PT China,' ensuring that consumers are aware of their origin in Putian,"" Guo said.

Photo shows a digital economy industry park in Xianyou county, Putian city, southeast China's Fujian Province. (Photo/Zhang Li)
In Xianyou county, the government has provided robust support for the footwear industry in terms of e-commerce channels. Even before the rise of live-streaming sales, the local government had introduced several e-commerce bases.
Li said the introduction of e-commerce platforms has brought reliable partners to the local footwear industry and taught companies how to leverage e-commerce effectively. With the support of e-commerce, some shoe companies in the county can sell 10,000 pairs of shoes in a single day.
",4544,http://en.people.cn/n3/2024/0628/c98649-20187052.html
People.cn,"Tian Yi, Zhong Wenxing",Economy,20240628,1427,,,"Summer Davos concludes, highlighting China's critical role on global stage","
Photo taken on June 26, 2024, in Dalian, Northeast China's Liaoning Province shows the venue of the 2024 Summer Davos. (Photo: Tao Mingyang/GT)
The 15th Annual Meeting of the New Champions (AMNC24), also known as the Summer Davos, wrapped up on Thursday with officials, economists, and business leaders from around the world concluding their three-day discussion covering topics spanning from technology, economics, and geopolitics and highlighting China's key role in driving the global economic growth.
At the event, Chinese and international business leaders and scholars hailed ""certainties"" from China amid a turbulent world and highlighted China's critical role in helping address growing challenges, including the global economic downturn.
The AMNC24, featuring the theme ""Next Frontiers for Growth,"" concluded on Thursday in Dalian, Northeast China's Liaoning Province. It drew the attendance of over 1,600 participants from business, government, civil society, international organizations, and academia from about 80 countries and regions.
As one of the most important international economy-themed forums, the Summer Davos offered the world an opportunity to better understand important trends across various fields, Hu Qimu, a deputy secretary-general of the Digital-Real Economies Integration Forum 50, told the Global Times on Thursday, noting that hot topics during the forum are more likely to become key elements that steer the world's economy growth.
Compared with the first two days' spotlight on specific discussions addressing artificial intelligence (AI), climate change, food, and energy security, panels held on the third day - Thursday - attached more importance to how China could drive the world forward.
Peng Sen, president of China Society of Economic Reform, said on Thursday during a panel discussion named ""China Economic Outlook"" that China's economy achieved a growth rate of 5.2 percent in 2023, contributing around 30 percent to global growth despite significant pressure, and the growth rate hit a remarkable 5.3 percent in the first quarter of 2024, beyond expectation.
""I'm fully confident that China can achieve its GDP growth goal of around 5 percent. We need high-quality growth in order to stimulate our development and our growth. This depends on the transition, the revolutionary transformation, on the technological front, and as for the traditional sectors, they need an upgrade and they need a deep transformation,"" Peng said.
Jin Keyu, professor of economics from the London School of Economics and Political Science, said on Thursday at the forum that China is spearheading the structural transformation via electric vehicles (EVs) and solar panels, which was much earlier than most Western economies, adding that China will play an essential role in the global green transition.
Jin noted that ""trillions of dollars of investment is needed"" for the global green transition, adding that ""China is going to play a very essential role"" in the transformation.
She highlighted that China's new innovative business models, and the digital economy, accounting for about 40 percent of the country's GDP, are a practical and cost-effective solution to many developing countries' present problems.
When Chinese Premier Li Qiang addressed the opening plenary of the Summer Davos, he emphasized that China has unique comparative advantages to foster new industries, including an ultra-large market with a population of over 1.4 billion, a complete industrial system, abundant human resources, diverse application scenarios, and consumers' high acceptance of new technologies.
""We have the confidence and capability to achieve the growth target of around 5 percent for this year,"" Li said.
In terms of trade and technology protectionism signs in multilateral cooperation, Premier Li stressed that China will promote inclusive and mutually beneficial development, which was hailed by experts attending the AMNC24.
Following a panel discussion theme with ""US-China Relations Analyzed,"" Li Cheng, professor of political science from the University of Hong Kong, told the Global Times on Thursday that China-US technology cooperation witnessed a rapid falloff over the past few years due to US policies targeting China.
Premier Li said that if countries only think about maximizing their own interests without considering that of others, and even turn back the wheel of history by decoupling and cutting off industrial and supply chains with the ""small yard and high fence"" policy, it will only raise the cost of global economic operations, sever economic ties between regions and intensify contradictions and disputes.
""China has world-leading scientists and engineers, and US' protectionism and bias may force them back to China and other Asian countries. It is actually not in line with US' interests,"" Li Cheng noted.
In order to set a stable foundation for economic growth and avoid the impact of global uncertainty, China will foster new quality productive forces by launching a series of key projects covering AI, integrated circuits, and global computing power network to empower traditional technologies, Peng said.
China has seen a steady economic performance so far in 2024, with the country's retail sales of consumer goods hitting 19.52 trillion yuan ($2.69 trillion) from January to May this year, up 4.1 percent year-on-year, according to the National Bureau of Statistics.
Hu noted that China might be the only economy that can drive the world out of its current whirlpool of decline in a peaceful and moderate way.
""The reason why China-related topics are so important and attract much attention is because the world is looking for certainties in China amid soaring global uncertainties,"" Hu said.
China's economic growth in the second half of 2024 is also a major topic underlined by AMNC24 participants, as Peng noted that stable growth in China will be good news for the world.
""Currently, there are still some challenges facing China's economy, including unreleased domestic consumption potential and global uncertainties. But the country's economy can be greatly boosted through countercyclical policies and new growth momentum generated from new quality productive forces,"" said Peng.
Regarding the coming third plenary session of the 20th Communist Party of China (CPC) Central Committee scheduled to be held in July in Beijing, Peng projected that there will be more macro-related policies to be released.
Li Cheng said that aside from economic stimulus, China has vast room for conducting urbanization and it might be a new growth engine for China.
",6608,http://en.people.cn/n3/2024/0628/c90000-20187022.html
People.cn,"Zhang Kaiwei, Zhong Wenxing",Economy,20240628,1422,,,Macao SAR gov't thanks central gov't for new duty-free measures,"MACAO, June 28 (Xinhua) -- Macao Special Administrative Region (SAR) Chief Executive Ho Iat Seng expressed gratitude on Friday on behalf of the Macao SAR government for the central government's newly introduced measures to increase duty-free allowance for personal luggage items brought in from Macao to the Chinese Mainland.
He pointed out that the new measures would stimulate tourism consumption growth and benefit more small and medium-sized enterprises (SMEs) in Macao, injecting new momentum into the SAR's overall economic development.
A notice jointly released by the Ministry of Finance, the General Administration of Customs and State Taxation Administration said the new policy will apply to adult residents and visitors entering from Hong Kong and Macao whose personal belongings obtained overseas have a total value of no more than 12,000 yuan (about 1,683.8 U.S. dollars).
At ports with duty-free shops, the cap will be raised to 15,000 yuan, the notice said.
Ho remarked that this is an important measure taken by the central government in response to the demands of Macao society, once again demonstrating the central government's attention and care for Macao.
He added that the increase in the duty-free allowance would help promote tourism consumption growth and boost the local economy. This will benefit SMEs, including the retail sector, and aid the steady forward development of the overall economy of the Macao SAR.
Ho emphasized that the SAR government will continue to work hand in hand with all sectors of society to effectively implement the series of measures introduced by the central government, making the international metropolis of Macao's ""golden name card"" shine even brighter in gratitude for the central government's care and support.
",1772,http://en.people.cn/n3/2024/0628/c90000-20187019.html
People.cn,"Tian Yi, Zhong Wenxing",Economy,20240628,1410,,,"S&P affirms China's sovereign credit rating at 'A+' with stable outlook, a validation of Chinese economic resilience","
Photo taken on November 10, 2023, shows a decoration for the Annual Conference of Financial Street Forum 2023 in Beijing. (Photo: courtesy of Financial Street Forum)
The recent decision by rating agency S&P Global Ratings to maintain China's sovereign credit rating at ""A+"" with a stable outlook reflects a positive recognition of China's economic resilience and growth prospects, the Ministry of Finance said on Thursday.
The positive assessment by S&P along with the recent upward revision from other global institutions, underscores the resilience and growth potential of China's economy, experts said.
The decision of S&P to maintain China's credit rating was based on a thorough assessment of the country's macroeconomic growth and development outlook, according to a senior official from the Ministry of Finance.
The rating agency conducted in-depth discussions with Chinese government departments think tanks, market institutions, and local authorities, providing a solid foundation for an objective assessment, the official said.
S&P pointed out that despite some challenges, China's economy continues to grow steadily, supported by the effective implementation of macroeconomic policies. China's large market size, strong domestic demand, a solid development foundation, new growth drivers, and abundant resources are key strengths, the official said.
Additionally, the Chinese government's efforts to optimize macroeconomic policies and strengthen counter-cyclical adjustments will further enhance the country's internal development momentum, the official added.
The S&P rating is objective and fair as China's economy is currently on a stable growth trajectory, dismissing any unfounded concerns over debt risks, Pan Helin, a Beijing-based veteran economist, told the Global Times on Thursday.
""This impartial rating highlights S&P's confidence in China's economic stability and resilience, serving as strong proof and reflecting the rating agency's recognition of the country's economic accomplishments over recent years,"" Pan said.
Looking ahead, China's economic prospects primarily hinge on technological innovation. Key strategies include manufacturing transformation and advancement from low-end to high-end production to establish a competitive edge in Chinese industries, Pan said.
Pan emphasized that the future focus of China's economic growth on enhancing the service sector, particularly in high-value segments like technology services, financial services, and the platform economy, will further increase its contribution to China's economic framework.
The S&P's ratings were released following recent upward revisions of China's economic growth by the International Monetary Fund (IMF) and the World Bank.
The IMF on May 29 announced an upward revision of its forecast for China's GDP growth in 2024 and 2025, citing strong GDP data in the first quarter and policy measures, further adding to a growing number of optimistic signs that the Chinese economy remains on a solid track toward recovery.
In a report issued on June 14, the World Bank revised China's GDP forecast to 4.8 percent, up 0.3 percentage points from its previous forecast in December. The revision was made due to stronger-than-expected export expectations and recent measures to support property markets.
China's economy continued expanding in May, with the output of industrial enterprises above the designated size up by 5.6 percent year-on-year, while retail sales rose by 3.7 percent, according to data from the National Bureau of Statistics.
Data showed that the world's second-largest economy sustained the recovery momentum from the first quarter and is on a firm trajectory to hit the goal of 5 percent GDP growth in 2024, experts said.
It is expected that future policies will focus on stabilizing the real estate market and expanding domestic demand to consolidate and enhance the nation's economic recovery, Wu Chaoming, a deputy head of the Chasing Research Institute, told the Global Times on Thursday.
It is estimated that China's GDP will grow by around 5.3 percent in the second quarter and around 5.1 percent for the whole year, he added.
",4150,http://en.people.cn/n3/2024/0628/c90000-20187003.html
People.cn,"Zhong Wenxing, Liang Jun",Economy,20240628,1357,,,Booming tourism ignites summer nights in N China’s Tianjin,"It has increasingly become a popular lifestyle choice for tourists and local residents to capture the beauty of Tianjin in the early evening. Strolling along the banks of the Haihe River, enjoying exotic buildings, tender saxophone performances and elegant ballroom dance performances allow tourists to fully embrace the comfortable living atmosphere of the romantic Tianjin.
In recent years, the local government has leveraged rich cultural and tourism resources to develop innovative tourism products and scenes themed on Tianjin, improving the distinctive cultural and tourism brand and gaining more recognition.
Records show that Tianjin received a total of 6.68 million visits during the Dragon Boat Festival holidays this year, including 3.12 million local visits and 3.56 million visits from other provinces, generating a tourism income of nearly 5.51 billion yuan ($758.3 million).

People play the saxophone at Jinwan Square in north China’s Tianjin. (People’s Daily Online/Fu Yuanyuan)

Tourists take group photos at Jinwan Square in north China’s Tianjin. (People’s Daily Online/Fu Yuanyuan)

A fashion show is held at Jinwan Square in north China’s Tianjin. (People’s Daily Online/Fu Yuanyuan)

Tourists take photos in the Tianjin Italian Style Area. (People’s Daily Online/Fu Yuanyuan)

Photo shows a view of the Tianjin Italian Style Area. (People’s Daily Online/Fu Yuanyuan)

Photo shows a view of the Tianjin Italian Style Area. (People’s Daily Online/Fu Yuanyuan)

Photo shows a view of the Tianjin Italian Style Area. (People’s Daily Online/Fu Yuanyuan)

Photo shows a night view of the Tianjin Italian Style Area. (People’s Daily Online/Peng Yukai)

Photo shows a night view of the Tianjin Italian Style Area. (People’s Daily Online/Peng Yukai)
(Intern Xing Yawen contributed to this story.)
",1811,http://en.people.cn/n3/2024/0628/c90000-20186986.html
People.cn,"Zhang Kaiwei, Zhong Wenxing",Economy,20240628,1324,,,British businesses should maintain confidence in Chinese growth: business leaders,"LONDON, June 28 (Xinhua) -- ""We tend to focus more on the changes as outsiders, but when you're doing business in China, I'm often struck by the continuity rather than the changes,"" said Julian Fisher, chair of the British Chamber of Commerce in China, on Wednesday.
At an event cohosted by the chamber on the topic of the next British government's strategy for China, many British business leaders expressed optimism about China's growth, acknowledging the opportunities despite certain difficulties.
St. John Moore, head of Beijing at Brunswick Group said, ""While China's growth may be slower than a few years ago, the market continues to present notable opportunities.""
""It is a market that is still growing, with a GDP of nearly USD 18 trillion last year, adding an economy the size of a mid-size country in a single year,"" he said.
Fisher also highlighted China's closer partnerships with countries in the South through the Belt and Road Initiative as an indication of its economic potential.
""I visited Uzbekistan a month ago and saw a Chinese construction of a hydropower station that can benefit over 20,000 local people,"" Fisher said.
When asked what the business community expects from the next British government's China strategy, Trey McArver, co-founder of China-focused consultancy Trivium China, said the community is hoping for a constructive relationship that reflects a more balanced tone in discussions about China.
""It's in the ultimate interest of the UK to have economic engagement with China. We cannot simply walk away and stand on particular values,"" Moore added.
All attendees agreed that the next British government should engage in informed dialogue with the business community and consider the tone when speaking about China.
""Having worked with businesses operating in China for the past 15 years, what strikes me most is how companies are more focused on policy changes coming from the United States and Europe rather than China, which is clear on its policy goals,"" McArver noted.
",2013,http://en.people.cn/n3/2024/0628/c90000-20186958.html
