Press,Reporter,Category,Submission Date,Submission Time,Last Edited Date,Last Edited Time,Article Title,Article Body,Size,url
People.cn,"Zhang Kaiwei, Zhong Wenxing",Politics,20240628,1552,,,CPC appoints new Party chiefs for 3 provincial-level regions,"BEIJING, June 28 (Xinhua) -- The Central Committee of the Communist Party of China (CPC) on Friday announced the appointments of Party chiefs for Jilin Province, Anhui Province, and Ningxia Hui Autonomous Region.
Huang Qiang has been appointed the Party chief of Jilin, replacing Jing Junhai.
Liang Yanshun has been appointed the Party chief of Anhui, replacing Han Jun.
Li Yifei has been appointed the Party chief of Ningxia, replacing Liang Yanshun.
",452,http://en.people.cn/n3/2024/0628/c90000-20187093.html
People.cn,"Zhang Kaiwei, Zhong Wenxing",Politics,20240628,1327,,,China adopts law on rural collective economic organizations,"BEIJING, June 28 (Xinhua) -- Chinese lawmakers on Friday voted to adopt a law to promote the development of rural collective economic organizations and safeguard the interests of farmers.
The law, which was passed at a session of the Standing Committee of the National People's Congress, the national legislature, will take effect on May 1, 2025.
According to the law, the government will support the development of these organizations through fiscal, tax, financial, land, talent and industrial policies, to strengthen the new rural collective economy.
",554,http://en.people.cn/n3/2024/0628/c90000-20186963.html
People.cn,"Zhang Kaiwei, Zhong Wenxing",Politics,20240628,1106,,,"Xi stresses improving systems for exercising full, rigorous Party governance","BEIJING, June 28 (Xinhua) -- Xi Jinping, general secretary of the Communist Party of China (CPC) Central Committee, has stressed improving the systems for exercising full and rigorous governance over the Party.
Xi made the remarks on Thursday while presiding over a group study session of the Political Bureau of the CPC Central Committee.
He highlighted the need to continue strengthening the overall leadership of the Party and upholding the centralized and unified leadership of the CPC Central Committee.
Xi emphasized the importance of achieving comprehensive coverage of the Party's governance, encompassing all areas and targets, ensuring complete accountability, and promoting institutional coherence.
The study session was held days before the CPC celebrates the 103rd anniversary of its founding on July 1.
On behalf of the Party Central Committee, Xi extended festive greetings to Party members across the country.
Xi said that the Party has established the systems for exercising full and rigorous self-governance since its 18th national congress in 2012. He also noted that self-reform is an unceasing endeavor to address the challenges and risks the Party faces.
He stressed the need to refine the mechanisms through which the Party Central Committee's major decisions and plans are implemented to ensure that orders are handed down smoothly and executed without fail.
Efforts should also be made to explore and enhance Party building in new types of economic and social organizations and among groups in new forms of employment, said Xi.
The work of arming CPC members with the Party's new theories and intensifying education on Party spirit must be carried on, he added.
Xi noted that it is a must to improve the supervision system that addresses both symptoms and root causes of the conduct problems within the Party. He also called for enhancing supervision targeting sectors with a high concentration of power, funds and resources, so as to make sure that no privilege-seeking misconduct or corruption goes unnoticed.
The cage of rules that restrains power must be reinforced, and should be in line with the requirements of strengthening Party building in all respects, Xi noted, adding that a sound accountability system should also be enhanced.
He urged Political Bureau members to take the lead in exercising full and rigorous Party governance.
",2367,http://en.people.cn/n3/2024/0628/c90000-20186928.html
People.cn,"Zhang Kaiwei, Liang Jun",Politics,20240628,1001,,,"Lai Ching-te to be condemned by history, punished by law: mainland spokesperson","BEIJING, June 27 (Xinhua) -- A Chinese mainland spokesperson on Thursday warned that Lai Ching-te, leader of the Taiwan region, and others who attempt to falsify history and split the Chinese nation would surely be condemned by history and punished by law.
Wu Qian, a spokesperson for the Ministry of National Defense, remarked at a press conference when inquired about Lai's recent comments.
Wu stated that there is but one China in the world and Taiwan is an inalienable part of China's territory, stressing that the government of the People's Republic of China is the sole legal government representing the whole of China.
""No matter how Taiwan's Democratic Progressive Party authorities try to distort or deny it, this basic fact will not change, nor will the family bonds between compatriots on the two sides of the Taiwan Strait be severed,"" the spokesperson said.
He went on to emphasize that every time ""Taiwan independence"" separatists make provocations, the People's Liberation Army will respond with stronger countermeasures, which will pave the way for the resolution of the Taiwan question.
",1104,http://en.people.cn/n3/2024/0628/c90000-20186857.html
People.cn,"Tian Yi, Liang Jun",Politics,20240628,958,,,Meeting set to unveil package of key reforms,"The Communist Party of China will convene the third plenary session of its 20th Central Committee from July 15 to 18 in Beijing, a highly anticipated meeting that will unveil wide-ranging reforms.
The decision was made on Thursday at a meeting of the Political Bureau of the CPC Central Committee, which was chaired by Xi Jinping, general secretary of the CPC Central Committee.
In the past, the third plenums of the CPC Central Committee have often launched major reforms. For instance, during the Third Plenum of the 11th CPC Central Committee in 1978, former leader Deng Xiaoping ushered in policy changes that paved the way for decades of rapid economic growth and opening to the outside world.
This year's third plenum carries historical significance given the structural economic slowdown, global geopolitical tensions and an increasing emphasis on coordinating development and security, observers said.
On the top of the agenda of the plenum is that the Political Bureau will report its work to the CPC Central Committee with a focus on studying the issues of further comprehensively deepening reform and advancing Chinese modernization.
Thursday's Political Bureau meeting heard a report on the solicitation of opinions within and outside the Party on the draft decision of the CPC Central Committee on further comprehensively deepening reform and advancing Chinese modernization, according to a statement released after the meeting.
It was decided that the draft document would be revised based on the discussions at the meeting, and submitted for deliberation at the third plenary session, the statement said.
The meeting's participants stated that the draft provides a thorough analysis of the new situations and problems in advancing Chinese modernization and scientifically maps out the overall arrangements for further deepening reform.
It was noted at the meeting that the draft serves as an overarching document guiding the deepening of reform across the board on the new journey, and demonstrates the resolve of the CPC Central Committee with Comrade Xi Jinping at the core to open up broad prospects for Chinese modernization through further deepening reform.
Regarding the goals and objectives for further reform, the statement said that China will complete the building of a high-standard socialist market economy by 2035.
The system and capacity for governance will be basically modernized and socialist modernization will be basically achieved by 2035, it added.
The plenum comes as China faces challenges in its structural economic readjustment as well as risks arising from mounting international geopolitical competition.
Experts said it offers the CPC leadership an opportunity to outline how it plans to manage the structural slowdown following a period of rapid economic growth, and will provide indications as to the future direction of the Party's key priorities, including technological self-reliance and innovation, national security and economic growth.
At the session, the CPC leadership is likely to map out the policy adjustments it will use to address an increasingly uncertain economic outlook, with policies and reforms that could alleviate the uncertainties affecting both consumers and investors, they said.
Participants at the Political Bureau meeting laid out principles for further deepening reform, including adhering to a systemic perspective to handle major relationships such as between the economy and society, government and market, efficiency and equity, vitality and order, development and security, and enhancing the systemic, holistic and coordinated nature of reform.
They also highlighted that the Party's leadership is the fundamental guarantee for further deepening reform and promoting Chinese modernization.
It is necessary to adhere to the centralized and unified leadership of the CPC Central Committee in further deepening reform, they said.
",3905,http://en.people.cn/n3/2024/0628/c90000-20186854.html
People.cn,"Zhang Kaiwei, Liang Jun",Politics,20240628,911,,,CPC expels former Chinese defense minister Li Shangfu,"BEIJING, June 27 (Xinhua) -- The Communist Party of China (CPC) leadership on Thursday decided to expel former defense minister Li Shangfu for serious violation of Party discipline and the law.
Li, who also formerly served as a member of the Central Military Commission (CMC) and a state councilor, was deprived of his qualification as a delegate to the 20th CPC National Congress, according to a meeting of the Political Bureau of the CPC Central Committee.
The CMC's disciplinary and supervisory agency launched an investigation against Li on Aug. 31, 2023.
According to the investigation results, Li seriously violated political and organizational discipline. He sought improper benefits in personnel arrangements for himself and others, took advantage of his posts to seek benefits for others, and accepted a huge amount of money and valuables in return. He is suspected of the crime of taking bribes.
He was also found to have offered money to others to seek undue benefits, constituting the suspected crime of offering bribes.
The investigation also found clues of Li's other violations.
As a high-ranking official of the Party and the military, Li betrayed the Party's original aspiration and its principles. His actions failed the trust of the Party Central Committee and the CMC, and severely contaminated the political environment of the equipment sector in the military and the ethics of relevant industries.
His disciplinary and law violations brought enormous damage to the Party's cause, the development of national defense and the armed forces, as well as the image of senior officials.
Li's violations are extremely serious in nature, with a highly detrimental impact and tremendous harm, according to the investigation findings.
The Political Bureau also decided to transfer Li's suspected criminal case to procuratorial organs of the military for examination and prosecution.
The disciplinary action to expel Li from the Party will be confirmed by the CPC Central Committee when it convenes a plenary session in mid-July.
An earlier decision made by the CMC had expelled Li from the military service and deprived him of his rank of general.
",2159,http://en.people.cn/n3/2024/0628/c90000-20186763.html
People.cn,"Zhang Kaiwei, Liang Jun",Politics,20240628,910,,,CPC expels former Chinese defense minister Wei Fenghe,"BEIJING, June 27 (Xinhua) -- The Communist Party of China (CPC) leadership on Thursday decided to expel former defense minister Wei Fenghe from the Party for serious violation of Party discipline and the law.
Wei, who also formerly served as a member of the Central Military Commission (CMC) and a state councilor, was deprived of his qualification as a delegate to the 20th CPC National Congress, according to a meeting of the Political Bureau of the CPC Central Committee.
The CMC's disciplinary and supervisory agency launched an investigation against Wei on Sept. 21, 2023.
According to the investigation results, Wei seriously violated political and organizational discipline by helping others gain improper benefits in personnel arrangements. He also seriously violated discipline regarding integrity, accepting money and gifts in violation of relevant rules.
Wei took advantage of his posts to seek benefits for others, accepting a huge amount of money and valuables in return, constituting the suspected crime of taking bribes.
The investigation also found clues about Wei's other violations.
As a high-ranking official of the Party and the military, Wei lost his faith and loyalty. His actions failed the trust of the Party Central Committee and the CMC, and severely contaminated the political environment of the military, bringing enormous damage to the Party's cause, the development of national defense and the armed forces, as well as the image of senior officials.
Wei's violations are extremely serious in nature, with a highly detrimental impact and tremendous harm, according to the investigation findings.
The Political Bureau also decided to transfer Wei's suspected criminal case to procuratorial organs of the military for examination and prosecution.
An earlier decision made by the CMC had expelled Wei from the military service and deprived him of his rank of general.
",1894,http://en.people.cn/n3/2024/0628/c90000-20186761.html
People.cn,"Zhang Kaiwei, Zhong Wenxing",Politics,20240627,1347,,,CPC leadership to hold reform-themed plenum on July 15-18,"BEIJING, June 27 (Xinhua) -- The Communist Party of China (CPC) will convene the third plenary session of its 20th central committee on July 15 in Beijing.
The plenum, which will primarily examine issues related to further comprehensively deepening reform and advancing Chinese modernization, will last until July 18, according to a meeting of the Political Bureau of the CPC Central Committee on Thursday.
Xi Jinping, general secretary of the CPC Central Committee, chaired Thursday's meeting.
The meeting decided to submit a draft decision on further comprehensively deepening reform and advancing Chinese modernization to the plenum for deliberation.
At the meeting, Political Bureau members were briefed on comments on the draft, which were solicited from both within and outside the Party. The draft will be updated after discussions at the meeting.
The draft has thoroughly analyzed the new situations and problems in advancing Chinese modernization and scientifically planned the overall arrangements for further deepening reforms, according to the meeting.
It was noted at the meeting that the draft serves as a programmatic document guiding deepening reform across the board on the new journey and demonstrates the resolve of the Party Central Committee with Comrade Xi Jinping at the core to open up broad prospects for Chinese modernization through further deepening reform.
Elaborating on the goals and objectives of further reform, the meeting said China will complete building a high-standard socialist market economy by 2035.
The system and capacity for governance will be basically modernized and socialist modernization will be basically achieved by 2035, it added.
",1683,http://en.people.cn/n3/2024/0627/c90000-20186384.html
People.cn,"Zhang Kaiwei, Liang Jun",Politics,20240627,1128,,,Taiwan's DPP authorities urged to stop obstructing mainland journalists,"BEIJING, June 26 (Xinhua) -- A Chinese mainland spokesperson on Wednesday urged Taiwan's Democratic Progressive Party (DPP) authorities to stop obstructing and interfering with mainland journalists stationed in Taiwan, and to cease disrupting normal exchanges and cooperation in the news sector between the two sides.
Zhu Fenglian, a spokesperson for the State Council Taiwan Affairs Office, told a regular press conference that the exchange of journalists stationed across the Taiwan Strait is conducive to promoting cross-Strait communication and advancing the development of cross-Strait relations.
The mainland has always encouraged and supported Taiwan reporters to come to the mainland for news reporting, and provided them with quality services and convenience in making interviews, Zhu said.
Zhu expressed strong dissatisfaction with the DPP authorities' abrupt suspension of the normal rotation of mainland journalists stationed in Taiwan during the COVID-19 pandemic, as such activities have affected the normal operations of the media and harmed the legitimate rights and interests of journalists.
The DPP authorities should respect and safeguard the rights and interests of mainland journalists stationed in Taiwan, Zhu said.
",1238,http://en.people.cn/n3/2024/0627/c90000-20186356.html
People.cn,"Tian Yi, Liang Jun",Politics,20240627,1105,,,Xi calls for promoting common prosperity in ethnic areas,"President Xi Jinping has called for sustained efforts to promote high-quality development and common prosperity in areas with large ethnic minority populations.
Xi, who is also general secretary of the Communist Party of China Central Committee and chairman of the Central Military Commission, made the remark on Tuesday in a reply letter to people in Jingning She autonomous county in East China's Zhejiang province.
The She ethnic group is one of China's 56 ethnic groups. Statistics show that there are about 746,000 members of the She ethnic group in the country.
Established in 1984, Jingning is China's sole autonomous county of the She ethnic group. The population of the ethnic group in the county stood at 18,410 at the end of last year, roughly 11 percent of the county's total.
In a letter sent recently to Xi, the county's Party and government authorities highlighted Jingning's achievements over the past 40 years and vowed to take the lead in promoting common prosperity in ethnic regions.
In the reply, Xi expressed his warm congratulations on the 40th anniversary of the founding of the county.
Commending the county's accomplishments, Xi said he is happy to know that people of all ethnic groups are leading better lives.
He encouraged Jingning to continue to uphold fine traditions, strengthen ethnic unity, and leverage its unique advantages to usher in a new chapter of development.
",1403,http://en.people.cn/n3/2024/0627/c90000-20186334.html
